"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Aptensio XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","205831","RHODES PHARMS","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/205831s012lbl.pdf#page=19"
"Aptiom","Eslicarbazepine Acetate","TABLET;ORAL","022416","SUNOVION PHARMS INC","03/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022416s011lbl.pdf#page=25"
"Aptryxol","Desvenlafaxine","TABLET,EXTENDED RELEASE;ORAL","205583","SUN PHARMACEUTICAL","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205583s014lbl.pdf#page=30"
"Aqvesme","Mitapivat","TABLET","216196","AGIOS PHARMACEUTICALS INC","12/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/216196s003lbl.pdf#page=20"
"Aranesp","Darbepoetin Alfa","VIAL; INTRAVENOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Aranesp","Darbepoetin Alfa","VIAL; SUBCUTANEOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Arcapta Neohaler","Indacaterol Maleate","POWDER;INHALATION","022383","NOVARTIS","07/30/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022383s000MedG.pdf"
"Arikayce Kit","Amikacin Sulfate","SUSPENSION, LIPOSOMAL;INHALATION","207356","INSMED INC","02/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207356s004lbl.pdf#page=15"
"Aristada","Aripiprazole LAuroxil","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","207533","ALKERMES INC","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/207533s031lbl.pdf#page=36"
"Aristada Initio Kit","Aripiprazole LAuroxil","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","209830","ALKERMES INC","01/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209830s020lbl.pdf#page=31"
"Arthrotec","Diclofenac Sodium; Misoprostol","TABLET, DELAYED RELEASE;ORAL","020607","PFIZER","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020607s043lbl.pdf#page=33"
"Arymo ER","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","208603","ZYLA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208603s005lbl.pdf#page=34"
"Arynta","Lisdexamfetamine Dimesylate","ORAL;SOLUTION","219847","AZURITY PHARMACEUTICALS INC","06/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219847s000lbl.pdf#page=37"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","050709","ASTELLAS","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
