"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Metozolv ODT","Metoclopramide Hydrochloride","TABLET, ORALLY DISINTEGRATING;ORAL","022246","SALIX PHARMS","02/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022246s009lbl.pdf#page=18"
"Mifeprex","Mifepristone","TABLET; ORAL","020687","DANCO LABS LLC","03/23/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020687Orig1s026lbl.pdf#page=16"
"Mircera","Methoxy Polyethylene Glycol-Epoetin Beta","SOLUTION; INJECTION","125164","HOFFMAN-LA ROCHE","06/04/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125164s087lblcorretion.pdf#page=23"
"Mircera","Methoxy Polyethylene Glycol-Epoetin Beta","INJECTABLE; SUBCUTANEOUS","126164","Vifor International Inc","04/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/126164s087lbl.pdf#page=27"
"Mitigare","Colchicine","CAPSULE;ORAL","204820","HIKMA AMERICAS","09/26/2014","http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/204820s000lbl.pdf#page=11"
"Mitigare","Colchicine","CAPSULE;ORAL","204820","HIKMA INTL PHARMS","09/26/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM417495.pdf"
"Mobic","Meloxicam","TABLET;ORAL","020938","BOEHRINGER INGELHEIM","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020938s030lbl.pdf#page=16"
"Mobic","Meloxicam","SUSPENSION;ORAL","021530","AVONDALE PHARMS","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021530s020lbl.pdf#page=16"
"Morphabond ER","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","206544","DAIICHI SANKYO INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/206544s012lbl.pdf#page=38"
"Morphine Sulfate","Morphine Sulfate","SOLUTION;ORAL","201517","LANNETT CO INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201517s018lbl.pdf#page=30"
"Morphine Sulfate","Morphine Sulfate","SOLUTION;ORAL","022195","HIKMA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022195s021lbl.pdf#page=23"
"Morphine Sulfate","Morphine Sulfate","TABLET;ORAL","022207","HIKMA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022207s011lbl.pdf#page=29"
"Motpoly XR","Lacosamide","CAPSULE, EXTENDED RELEASE;ORAL","216185","Aucta Pharmaceuticals","06/07/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216185s000lbl.pdf#page=22"
"Motrin","Ibuprofen","TABLET;ORAL","017463","MCNEIL CONSUMER","09/10/2007","https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/017463s104lbl.pdf#page=13"
"Mounjaro","Tirzepatide","INJECTABLE; SUBCUTANEOUS","215866","ELI LILLY AND COMPANY","01/07/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/215866s041lbl.pdf#page=24"
"Movantik","Naloxegol Oxalate","TABLET;ORAL","204760","REDHILL","04/13/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204760s009lbl.pdf#page=16"
"Moviprep","Ascorbic Acid; Polyethylene Glycol 3350; Potassium Chloride; Sodium Ascorbate; Sodium Chloride; Sodium Sulfate","FOR SOLUTION;ORAL","021881","SALIX PHARMS","05/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021881s023lbl.pdf#page=13"
"Moxifloxacin Hydrochloride","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","205572","FRESENIUS KABI USA","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/205572s007lbl.pdf#page=49"
"MS Contin","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","019516","PURDUE PHARMA LP","12/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/019516s062lbl.pdf#page=35"
"Multaq","Dronedarone Hydrochloride","TABLET;ORAL","022425","SANOFI AVENTIS US","10/23/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022425s028s030lbl.pdf#page=24"
"Multihance","Gadobenate Dimeglumine","INJECTABLE;INTRAVENOUS","021357","BRACCO","03/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021357s028lbl.pdf#page=17"
"Multihance Multipack","Gadobenate Dimeglumine","INJECTABLE;INTRAVENOUS","021358","BRACCO","03/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021358s026lbl.pdf#page=18"
"Myalept","Metreleptin","INJECTABLE;INJECTION","125390","AEGERION","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125390s024lbl.pdf#page=16"
"Mydayis","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","022063","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022063s005lbl.pdf#page=25"
"Myfortic","Mycophenolic Sodium","TABLET, DELAYED RELEASE;ORAL","050791","NOVARTIS","08/04/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/050791s042s043lbl.pdf#page=23"
"Myobloc","Botulinum Toxin Type B","VIAL","103846","ELAN PHARM","03/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/103846s5195lbl.pdf#page=17"
"Mysoline","Primidone","TABLET;ORAL","009170","VALEANT","06/10/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009170Orig1s040lbl.pdf#page=7"
"Nalfon","Fenoprofen Calcium","CAPSULE;ORAL","017604","XSPIRE PHARMA","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017604s054lbl.pdf#page=16"
"Naprelan","Naproxen Sodium","TABLET, EXTENDED RELEASE;ORAL","020353","ALMATICA","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020353s041lbl.pdf#page=21"
"Naprosyn","Naproxen","SUSPENSION;ORAL","018965","ATNAHS PHARMA US","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/018965s028lbl.pdf#page=22"
"Naprosyn","Naproxen","TABLET;ORAL","017581","ATNAHS PHARMA US","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
"Nardil","Phenelzine Sulfate","TABLET;ORAL","011909","PARKE DAVIS","08/02/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088660.pdf"
"Natalizumab","Natalizumab","INJECTION","761322","SANDOZ INC","10/30/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761322s002lbl.pdf#page=26"
"Natpara","Parathyroid Hormone","INJECTABLE;INJECTION","125511","NPS PHARMS INC","07/01/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125511s016lbl.pdf#page=18"
"Nayzilam","Midazolam","SPRAY;NASAL","211321","UCB INC","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211321s008lbl.pdf#page=26"
"Nesina","Alogliptin Benzoate","TABLET;ORAL","022271","TAKEDA PHARMS USA","07/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022271s015lbl.pdf#page=28"
"Neurontin","Gabapentin","SOLUTION;ORAL","021129","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Neurontin","Gabapentin","TABLET;ORAL","020882","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Neurontin","Gabapentin","CAPSULE;ORAL","020235","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Nexium","Esomeprazole Magnesium","FOR SUSPENSION, DELAYED RELEASE;ORAL","022101","ASTRAZENECA","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021153s060,021957s027,022101s024lbl.pdf#page=40"
"Nexium","Esomeprazole Magnesium","CAPSULE, DELAYED REL PELLETS;ORAL","021153","ASTRAZENECA","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021153s060,021957s027,022101s024lbl.pdf#page=40"
"Nexium","Esomeprazole Magnesium","FOR SUSPENSION, DELAYED RELEASE;ORAL","021957","ASTRAZENECA","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021153s060,021957s027,022101s024lbl.pdf#page=40"
"Nilotinib","Nilotinib D-Tartrate","CAPSULE;ORAL","218922","CIPLA USA, INC","07/10/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218922s001lbl.pdf#page=38"
"Nizoral","Ketoconazole","TABLET;ORAL","018533","JANSSEN PHARMS","07/30/2013","https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/018533s040lbl.pdf#page=19"
"Nocdurna","Desmopressin Acetate","TABLET;SUBLINGUAL","022517","FERRING PHARMS INC","06/21/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022517s000lbl.pdf#page=14"
"Noctiva","Desmopressin Acetate","SPRAY, METERED;NASAL","201656","SERENITY PHARMS LLC","03/03/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/201656lbl.pdf#page=13"
"Nolvadex","Tamoxifen Citrate","TABLET;ORAL","017970","ASTRAZENECA","03/13/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088661.pdf"
"Norco","Acetaminophen; Hydrocodone Bitartrate","TABLET;ORAL","040099","APIL","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/040099s023lbl.pdf#page=23"
"Noroxin","Norfloxacin","TABLET;ORAL","019384","MERCK","07/26/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM246795.pdf"
"Norpramin","Desipramine Hydrochloride","TABLET;ORAL","014399","VALIDUS PHARMS","06/24/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/%014399s072lbl.pdf#page=16"
"Novantrone","Mitoxantrone Hydrochloride","INJECTABLE;INJECTION","019297","EMD SERONO","03/23/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019297s035mg.pdf"
"Nplate","Romiplostim","INJECTABLE; SUBCUTANEOUS","125268","AMGEN","02/21/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/125268s176lbl.pdf#page=19"
"Nucynta","Tapentadol Hydrochloride","TABLET;ORAL","022304","COLLEGIUM PHARM INC","06/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022304s026lbl.pdf#page=40"
"Nucynta","Tapentadol Hydrochloride","SOLUTION;ORAL","203794","COLLEGIUM PHARM INC","06/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203794s011lbl.pdf#page=37"
"Nucynta ER","Tapentadol Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","200533","COLLEGIUM PHARM INC","06/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/200533s027lbl.pdf#page=40"
"Nulojix","Belatacept","INJECTABLE; INJECTION","125288","BRISTOL MYERS SQUIBB","07/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125288s075lbl.pdf#page=49"
"Nulytely","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION;ORAL","019797","BRAINTREE","05/14/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM370636.pdf"
"Nulytely-Flavored","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION;ORAL","019797","BRAINTREE","05/14/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM370636.pdf"
"Nuvigil","Armodafinil","TABLET;ORAL","021875","CEPHALON","02/07/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021875s023lbl.pdf#page=24"
"Obredon","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","205474","SOVEREIGN PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205474s008lbl.pdf#page=23"
"Ocaliva","Obeticholic Acid","TABLET;ORAL","207999","INTERCEPT PHARMS INC","05/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/207999s007lbl.pdf#page=22"
"Ocrevus","Ocrelizumab","INJECTABLE;INJECTION","761053","GENENTECH INC","05/19/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761053s038lbl.pdf#page=27"
"Ocrevus Zunovo","Ocrelizumab and Hyaluronidazse-Ocsq","INJECTABLE;SUBCUTANEOUS","761371","GENETECH, INC.","08/18/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761371s001lbl.pdf#page=23"
"Odomzo","Sonidegib Phosphate","CAPSULE;ORAL","205266","SUN PHARMA GLOBAL","08/22/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205266s009lbl.pdf#page=14"
"Oleptro","Trazodone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022411","ANGELINI PHARMA","07/17/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM202202.pdf"
"Olumiant","Baricitinib","TABLET;ORAL","207924","ELI LILLY AND CO","07/10/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/207924s011lbl.pdf#page=32"
"Omalizumab-Igec","Omalizumab","INJECTION, SOLUTION","761399","CELLTRION, INC.","12/01/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761399s004lbl.pdf#page=85"
"Omniscan","Gadodiamide","INJECTABLE;INJECTION","022066","GE HEALTHCARE","03/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020123s052,022066s015lbl.pdf#page=23"
"Omniscan","Gadodiamide","INJECTABLE;INJECTION","020123","GE HEALTHCARE","03/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020123s052,022066s015lbl.pdf#page=23"
"Omontys","Peginesatide Acetate","SOLUTION;INTRAVENOUS, SUBCUTANEOUS","202799","TAKEDA PHARMS USA","12/04/2012","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202799s001lbl.pdf#page=15"
"Omvoh","Mirikizumab-Mrkz","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","761279","ELI LILLY AND COMPANY","10/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761279s005lbl.pdf#page=20"
"Onfi","Clobazam","TABLET;ORAL","202067","LUNDBECK PHARMS LLC","03/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202067s007,203993s009lbl.pdf#page=29"
"Onfi","Clobazam","SUSPENSION;ORAL","203993","LUNDBECK PHARMS LLC","03/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202067s007,203993s009lbl.pdf#page=29"
"Onglyza","Saxagliptin Hydrochloride","TABLET;ORAL","022350","ASTRAZENECA AB","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022350s023lbl.pdf#page=31"
"Onsolis","Fentanyl Citrate","FILM;BUCCAL","022266","BDSI","12/03/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022266s025lbl.pdf#page=32"
"Opana","Oxymorphone Hydrochloride","TABLET;ORAL","021611","ENDO PHARMS","10/25/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021611s016lbl.pdf#page=27"
"Opana ER","Oxymorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021610","ENDO PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021610s031lbl.pdf#page=32"
"Opana ER","Oxymorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","201655","ENDO PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/201655s026lbl.pdf#page=26"
"Opdivo","Nivolumab","INJECTABLE;INJECTION","125554","BRISTOL MYERS SQUIBB","08/18/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/125554s138lbl.pdf#page=187"
"Opdivo Qvantig","Nivolumab and Hyaluronidase-Nvhy","INJECTABLE;SUBCUTANEOUS","761429","BRISTOL-MYERS SQUIBB COMPANY","12/27/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761429s000lbl.pdf#page=148"
"Opdivo Qvantig","Nivolumab and Hyaluronidase-Nvhy","INJECTABLE;SUBCUTANEOUS","761381","BRISTOL-MYERS SQUIBB COMPANY","11/24/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761381s005lbl.pdf#page=165"
"Opsumit","Macitentan","TABLET;ORAL","204410","ACTELION","02/28/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204410s029lbl.pdf#page=20"
"Optimark","Gadoversetamide","INJECTABLE;INJECTION","020937","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020937s028,020975s029,020976s030lbl.pdf#page=14"
"Optimark","Gadoversetamide","INJECTABLE;INJECTION","020975","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020975s028lbl.pdf#page=13"
"Optimark in Plastic Container","Gadoversetamide","INJECTABLE;INJECTION","020976","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020976s029lbl.pdf#page=13"
"Opzelura","Ruxolitinib Phosphate","CREAM;TOPICAL","215309","INCYTE CORP","07/10/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/215309s009sdn953lbl.pdf#page=23"
"Oriahnn (Copackaged)","Elagolix Sodium,Estradiol,Norethindrone Acetate; Elagolix Sodium","CAPSULE;ORAL","213388","ABBVIE INC","05/29/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/213388s003lbl.pdf#page=29"
"Orilissa","Elagolix Sodium","TABLET;ORAL","210450","ABBVIE INC","06/05/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210450s009lbl.pdf#page=27"
"Oseni","Alogliptin Benzoate; Pioglitazone Hydrochloride","TABLET;ORAL","022426","TAKEDA PHARMS USA","06/28/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022426s012lbl.pdf#page=43"
"Osmoprep","Sodium Phosphate, Dibasic, Anhydrous; Sodium Phosphate, Monobasic, Monohydrate","TABLET;ORAL","021892","SALIX PHARMS","11/29/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021892s014lbl.pdf#page=13"
"Ospomyv","Denosumab-Dssb","INJECTABLE;SUBCUTANEOUS","761392","SAMSUNG BIOPES CO., LTD","10/29/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761392s000lbl.pdf#page=32"
"Otulfi","Ustekinumab-Aauz","INJECTABLE;INTRAVENOUS","761379","FRESENIUS KABI USA","04/30/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761379Orig2s000lbl.pdf#page=36"
"Oxaydo","Oxycodone Hydrochloride","TABLET;ORAL","202080","ZYLA","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202080s013lbl.pdf#page=30"
"Oxtellar XR","Oxcarbazepine","TABLET, EXTENDED RELEASE;ORAL","202810","SUPERNUS PHARMS","08/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/202810s020lbl.pdf#page=24"
"Oxycodone Hydrochloride","Oxycodone Hydrochloride","SOLUTION;ORAL","200535","GENUS LIFESCIENCES","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/200535s022lbl.pdf#page=35"
"Oxycodone Hydrochloride","Oxycodone Hydrochloride","SOLUTION;ORAL","201194","VISTAPHARM","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201194s017lbl.pdf#page=34"
"Oxycodone Hydrochloride Capsules","Oxycodone Hydrochloride","CAPSULE;ORAL","200534","GENUS LIFESCIENCES","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/200534s013lbl.pdf#page=32"
"Oxycontin","Oxycodone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022272","PURDUE PHARMA LP","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022272s048lbl.pdf#page=49"
"Oxymorphone Hydrochloride","Oxymorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","079046","ACTAVIS ELIZABETH","03/04/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/079046s000mg.pdf"
"Ozempic","Semaglutide","SOLUTION;SUBCUTANEOUS","209637","NOVO","10/14/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209637s035,209637s037lbl.pdf#page=31"
"Pacerone","Amiodarone Hydrochloride","TABLET;ORAL","075135","UPSHER SMITH LABS","11/01/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088668.pdf"
"Palladone","Hydromorphone Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021044","PURDUE PHARMA LP","04/16/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088670.pdf"
"Palynziq","Pegvaliase-Pqpz","INJECTABLE;INJECTION","761079","BIOMARIN PHARM","11/20/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761079s034lbl.pdf#page=25"
"Pamelor","Nortriptyline Hydrochloride","SOLUTION;ORAL","018012","SPECGX LLC","07/28/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088671.pdf"
"Pamelor","Nortriptyline Hydrochloride","CAPSULE;ORAL","018013","SPECGX LLC","04/09/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018013s064lbl.pdf#page=15"
"Pancreaze","Pancrelipase (Amylase;Lipase;Protease)","CAPSULE, DELAYED RELEASE;ORAL","022523","VIVUS INC","02/28/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022523s013lbl.pdf#page=16"
"Parnate","Tranylcypromine Sulfate","TABLET;ORAL","012342","CONCORDIA","01/04/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012342s064lbl.pdf#page=18"
"Paxil","Paroxetine Hydrochloride","SUSPENSION;ORAL","020710","APOTEX TECHNOLOGIES","11/26/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020031s083,020710s051lbl.pdf#page=39"
"Paxil","Paroxetine Hydrochloride","TABLET;ORAL","020031","APOTEX TECHNOLOGIES","11/26/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020031s083,020710s051lbl.pdf#page=39"
"Paxil CR","Paroxetine Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","020936","APOTEX TECHNOLOGIES","02/23/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020936s057s064lbl.pdf#page=30"
"Peganone","Ethotoin","TABLET;ORAL","010841","RECORDATI RARE","02/27/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/010841s022MedGuide.pdf"
"Pegasys","Peginterferon Alfa-2a","VIAL; SUBCUTANEOUS","103964","HOFFMAN-LA ROCHE","12/11/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103964s5276lbl.pdf#page=37"
"Pegasys","Peginterferon Alfa-2a","SYRINGE","103964","HOFFMAN-LA ROCHE","12/11/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103964s5276lbl.pdf#page=37"
"Pegintron","Peginterferon Alfa-2b","SYRINGE","103949","SCHERING","12/21/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/103949s5313lbl.pdf#page=29"
"Pembrolizumab and Berahyaluronidase Alfa","Pembrolizumab, Berahyaluronidase Alfa","INJECTABLE;SOLUTION","761495","MERCK SHARP AND DOHME LLC","10/15/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761495s000lbl.pdf#page=182"
"Pennsaid","Diclofenac Sodium","SOLUTION;TOPICAL","020947","NUVO PHARMS INC","05/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM191085.pdf"
"Pennsaid","Diclofenac Sodium","SOLUTION;TOPICAL","204623","HORIZON","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/204623s013lbl.pdf#page=20"
"Percocet","Acetaminophen; Oxycodone Hydrochloride","TABLET;ORAL","040330","VINTAGE PHARMS LLC","03/04/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/040330s052lbl.pdf"
"Percodan","Aspirin; Oxycodone Hydrochloride; Oxycodone Terephthalate","TABLET;ORAL","007337","ENDO PHARMS","12/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/007337s058lbl.pdf#page=33"
"Percodan","Aspirin; Oxycodone Hydrochloride","TABLET;ORAL","007337","ENDO PHARMS","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/007337s053lbl.pdf#page=30"
"Perforomist","Formoterol Fumarate","SOLUTION;INHALATION","022007","MYLAN SPECLT","05/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022007s014lbl.pdf#page=19"
"Pertzye","Pancrelipase (Amylase;Lipase;Protease)","CAPSULE, DELAYED RELEASE;ORAL","022175","DIGESTIVE CARE INC","02/28/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022175s008lbl.pdf#page=13"
"Pexeva","Paroxetine Mesylate","TABLET;ORAL","021299","SEBELA IRELAND LTD","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021299s035s038lbl.pdf#page=18"
"Phenergan VC W/ Codeine","Codeine Phosphate; Phenylephrine Hydrochloride; Promethazine Hydrochloride","SYRUP;ORAL","008306","ANI PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/008306s035lbl.pdf#page=66"
"Phenergan W/ Codeine","Codeine Phosphate; Promethazine Hydrochloride","SYRUP;ORAL","008306","ANI PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/008306s035lbl.pdf#page=66"
"Plavix","Clopidogrel Bisulfate","TABLET;ORAL","020839","SANOFI AVENTIS US","03/01/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020839s074lbl.pdf#page=24"
"Plegridy","Peginterferon Beta-1a","INJECTABLE;INJECTION","125499","BIOGEN IDEC INC","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125499s028lbl.pdf#page=20"
"Plenvu","Ascorbic Acid; Polyethylene Glycol 3350; Potassium Chloride; Sodium Ascorbate; Sodium Chloride; Sodium Sulfate","FOR SOLUTION;ORAL","209381","SALIX","09/08/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209381s013lbl.pdf#page=18"
"Pomalyst","Pomalidomide","CAPSULE;ORAL","204026","CELGENE","02/26/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204026s034lbl.pdf#page=33"
"Ponstel","Mefenamic Acid","CAPSULE;ORAL","015034","AVION PHARMS","12/31/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/015034s047lbl.pdf#page=20"
"Ponvory","Ponesimod","TABLET;ORAL","213498","JANSSEN PHARMS","06/05/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/213498s004lbl.pdf#page=30"
"Potiga","Ezogabine","TABLET;ORAL","022345","GLAXOSMITHKLINE","05/20/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM259619.pdf"
